,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
24,DS81757,Oregon,M,College,247012.12,0.0,74.0,0,Personal Auto,Two-Door Car,721.242206
25,OJ94107,Arizona,M,Master,561906.85,50335.0,140.0,0,Personal Auto,SUV,456.52385
26,LP84436,California,F,High School or Below,904711.92,0.0,127.0,0,Personal Auto,Luxury,1087.995426
27,FF22360,Washington,F,Doctor,268731.41,82210.0,68.0,4,Personal Auto,Four-Door Car,51.961915
28,LM19287,Oregon,F,High School or Below,373150.46,0.0,96.0,0,Personal Auto,Four-Door Car,460.8
29,ZU18643,Nevada,M,Bachelor,366077.03,64495.0,92.0,0,Corporate Auto,Four-Door Car,251.992083
30,AZ82578,California,F,College,792882.93,0.0,72.0,0,Corporate Auto,Four-Door Car,345.6
31,XC67861,Arizona,F,Bachelor,501175.16,28859.0,67.0,3,Corporate Auto,Two-Door Car,321.6
32,YC43143,Arizona,F,High School or Below,798825.83,77330.0,99.0,0,Personal Auto,Four-Door Car,99.257608
33,EK59571,Oregon,M,College,388545.64,0.0,105.0,0,Corporate Auto,Four-Door Car,504.0
34,PA38372,Washington,F,High School or Below,935773.78,33060.0,117.0,0,Personal Auto,Four-Door Car,56.731578
35,RO18530,Washington,M,Master,254068.98,42557.0,65.0,0,Personal Auto,Four-Door Car,57.562324
36,PD27940,Arizona,M,High School or Below,488516.25,26372.0,126.0,0,Personal Auto,SUV,604.8
37,BS77946,Arizona,F,Bachelor,975330.71,17514.0,127.0,0,Personal Auto,SUV,8.312729
38,YM50253,California,F,Bachelor,294615.37,89270.0,74.0,0,Personal Auto,Four-Door Car,316.599228
39,NR15332,California,M,High School or Below,258111.09,29757.0,65.0,0,Personal Auto,Four-Door Car,312.0
40,RC62865,Oregon,M,College,351738.58,51814.0,92.0,0,Personal Auto,Four-Door Car,56.300724
41,CC15295,Oregon,F,Bachelor,974335.01,24028.0,82.0,0,Personal Auto,Four-Door Car,393.6
42,KA61892,Arizona,M,College,387364.7,28142.0,105.0,0,Personal Auto,Luxury,701.708239
43,OS94884,Arizona,F,Bachelor,764928.2,52705.0,64.0,1,Personal Auto,Two-Door Car,128.705563
44,ND87334,California,M,High School or Below,228759.69,0.0,63.0,0,Corporate Auto,Two-Door Car,679.368378
45,OY51402,Washington,F,High School or Below,825576.39,54040.0,103.0,0,Personal Auto,SUV,59.987126
46,YL74911,California,F,College,871492.21,0.0,118.0,0,Personal Auto,SUV,566.4
47,GK92563,Washington,F,Doctor,681923.12,22492.0,85.0,0,Personal Auto,Two-Door Car,61.654262
48,HL53154,California,M,Bachelor,741619.73,0.0,77.0,2,Personal Auto,Four-Door Car,554.4
49,RI78966,Oregon,M,Master,777115.9,21876.0,68.0,0,Personal Auto,Four-Door Car,465.41477
50,IC13702,California,F,Bachelor,696834.19,0.0,69.0,1,Personal Auto,Four-Door Car,496.8
51,BE10809,California,F,High School or Below,425028.26,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
52,HT87217,Oregon,F,High School or Below,1977656.65,70699.0,82.0,0,Personal Auto,Four-Door Car,256.813837
53,TH95618,California,F,High School or Below,2134346.6,0.0,74.0,1,Personal Auto,Four-Door Car,355.2
54,TS19868,California,M,College,241313.97,27501.0,63.0,0,Personal Auto,Four-Door Car,542.319401
55,LP45550,Oregon,F,Doctor,1536384.72,15897.0,101.0,0,Personal Auto,Four-Door Car,303.148399
56,QR87004,Nevada,F,College,845696.19,25141.0,73.0,1,Personal Auto,Four-Door Car,25.438063
57,OE75747,Nevada,F,College,218964.25,0.0,61.0,3,Personal Auto,Four-Door Car,292.8
58,DX91392,California,M,High School or Below,578018.22,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
59,AB72731,California,F,Bachelor,463998.16,28358.0,117.0,0,Personal Auto,Luxury,84.024413
60,GX84338,Washington,F,Doctor,382443.13,62530.0,95.0,0,Personal Auto,Four-Door Car,61.693771
61,IS12901,Arizona,F,Bachelor,596811.89,90972.0,74.0,0,Personal Auto,Two-Door Car,232.926145
62,BN90616,Washington,F,Bachelor,859033.5,63110.0,72.0,0,Personal Auto,Four-Door Car,68.179721
63,HH90090,California,F,Bachelor,407663.47,29549.0,104.0,0,Personal Auto,Luxury,710.433775
64,IU25463,California,F,Bachelor,1225260.18,0.0,115.0,1,Personal Auto,Four-Door Car,552.0
65,KC11055,Nevada,F,Bachelor,1693627.15,39411.0,217.0,2,Personal Auto,Luxury,1122.658899
66,PD33979,Oregon,M,High School or Below,489243.55,21709.0,62.0,0,Personal Auto,Four-Door Car,408.374746
67,NK71023,Nevada,M,Bachelor,994230.48,67890.0,85.0,0,Personal Auto,Four-Door Car,408.0
68,AB13432,California,M,Bachelor,373583.81,0.0,110.0,0,Personal Auto,SUV,792.0
69,OZ97704,California,F,High School or Below,1311752.22,84311.0,111.0,4,Personal Auto,SUV,532.8
70,UF46533,California,F,College,457452.41,99316.0,114.0,0,Corporate Auto,SUV,754.358929
71,XP47431,Arizona,F,Bachelor,547006.06,54507.0,138.0,0,Personal Auto,SUV,702.990032
72,GK73582,California,F,Bachelor,297884.6,64586.0,76.0,0,Personal Auto,Four-Door Car,206.837111
73,RV98763,Oregon,M,College,641096.75,61709.0,82.0,2,Personal Auto,Four-Door Car,275.395894
74,II62831,California,M,Master,447902.31,94656.0,111.0,1,Special Auto,SUV,459.738128
75,XK33449,California,F,High School or Below,238373.19,0.0,69.0,0,Special Auto,Two-Door Car,496.8
76,TR85083,California,M,Bachelor,276449.37,61085.0,70.0,1,Personal Auto,Two-Door Car,336.0
77,EO95328,Oregon,F,Bachelor,792010.54,89284.0,67.0,3,Personal Auto,Two-Door Car,321.6
78,EN21086,Arizona,F,High School or Below,688909.8,0.0,63.0,0,Personal Auto,Four-Door Car,302.4
79,YL83902,Washington,F,Bachelor,327419.46,31686.0,81.0,0,Personal Auto,Four-Door Car,430.994107
80,AZ62651,Oregon,M,High School or Below,995170.77,56855.0,255.0,0,Corporate Auto,Luxury,1836.0
81,ZW25874,Oregon,M,Bachelor,252155.57,53703.0,67.0,2,Special Auto,Four-Door Car,67.632476
82,EH41854,Washington,F,High School or Below,2370611.34,0.0,96.0,1,Personal Auto,Two-Door Car,844.481918
83,MW70227,California,M,College,604702.52,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
84,SL22297,California,F,Master,1114030.25,27679.0,150.0,0,Personal Auto,SUV,722.486994
85,RV14138,Nevada,F,Bachelor,433406.41,23904.0,123.0,3,Personal Auto,SUV,590.4
86,UO62808,Arizona,F,High School or Below,279974.79,65351.0,69.0,0,Corporate Auto,Four-Door Car,481.027516
87,ZX64745,California,M,College,792313.66,0.0,113.0,0,Personal Auto,SUV,1124.427734
88,FL34139,California,M,High School or Below,368811.09,0.0,63.0,3,Personal Auto,Four-Door Car,669.682001
89,TS11219,California,M,College,1206745.6,0.0,116.0,0,Personal Auto,SUV,1284.093173
90,XX12304,California,F,College,292497.67,64459.0,72.0,0,Personal Auto,Four-Door Car,240.259479
91,SD64087,California,M,College,1501409.27,32961.0,190.0,0,Corporate Auto,SUV,912.0
92,OY38576,Oregon,F,High School or Below,927723.38,71416.0,116.0,0,Corporate Auto,SUV,556.8
93,BG76355,Washington,F,Bachelor,627412.39,68964.0,78.0,0,Personal Auto,Four-Door Car,115.086827
94,IP66913,California,M,High School or Below,388664.74,78108.0,98.0,0,Personal Auto,Two-Door Car,470.4
95,LE95702,California,M,College,438627.76,10621.0,67.0,0,Special Auto,Four-Door Car,321.6
96,KX54357,Washington,M,College,1136526.77,84910.0,95.0,0,Corporate Auto,Two-Door Car,383.167471
97,EZ78112,California,F,High School or Below,561096.43,77493.0,70.0,0,Special Auto,Four-Door Car,307.963291
98,XN16891,Arizona,M,College,291289.2,81097.0,74.0,0,Personal Auto,Four-Door Car,355.2
99,XK31350,Oregon,F,College,691572.99,96610.0,85.0,0,Corporate Auto,Four-Door Car,520.364752
100,CC30924,Oregon,M,College,626266.33,30110.0,159.0,0,Corporate Auto,Luxury,466.436375
101,IT78748,Oregon,F,High School or Below,650339.7,22081.0,84.0,0,Special Auto,Two-Door Car,451.670309
102,KY33386,Washington,F,High School or Below,800739.94,0.0,112.0,0,Personal Auto,Luxury,537.6
103,CO44221,California,M,College,292991.65,98473.0,72.0,0,Personal Auto,Four-Door Car,345.6
104,LK60013,Oregon,F,Bachelor,596955.3,97431.0,74.0,0,Personal Auto,Four-Door Car,355.2
105,DE21533,California,M,Bachelor,547315.99,93870.0,69.0,0,Personal Auto,Four-Door Car,331.2
106,YS94121,Nevada,M,High School or Below,564539.67,50366.0,72.0,0,Personal Auto,Four-Door Car,428.734656
107,UK68427,Washington,M,High School or Below,636926.24,34498.0,83.0,0,Personal Auto,Two-Door Car,398.4
108,TE49565,Oregon,F,College,1183376.73,16552.0,103.0,0,Personal Auto,SUV,494.4
109,RA88421,Oregon,F,College,612110.79,26787.0,77.0,0,Personal Auto,Four-Door Car,369.6
110,KQ51983,Nevada,M,College,515936.97,0.0,74.0,0,Personal Auto,Two-Door Car,831.752839
111,CD88896,Nevada,F,High School or Below,251459.2,43860.0,65.0,0,Corporate Auto,Four-Door Car,156.124914
112,YV22553,Arizona,M,High School or Below,866861.13,21474.0,114.0,2,Corporate Auto,SUV,373.428187
113,WU14435,California,M,Bachelor,496096.54,18174.0,66.0,0,Corporate Auto,Four-Door Car,395.934815
114,XV84099,Arizona,F,Bachelor,550413.9,0.0,73.0,0,Corporate Auto,Four-Door Car,350.4
115,RI24911,Arizona,M,College,750745.54,60920.0,64.0,0,Personal Auto,Two-Door Car,231.201886
116,KO26461,Arizona,M,High School or Below,3226985.14,41520.0,90.0,0,Personal Auto,Four-Door Car,289.904105
117,HI14283,Oregon,F,Bachelor,565703.16,0.0,152.0,0,Personal Auto,SUV,729.6
118,PT50227,Arizona,M,High School or Below,506175.79,0.0,68.0,0,Personal Auto,Two-Door Car,326.4
119,BH36570,California,M,Bachelor,591278.38,72208.0,73.0,0,Personal Auto,Two-Door Car,350.4
120,TX17484,California,F,Bachelor,1518227.98,53863.0,63.0,0,Personal Auto,Four-Door Car,105.765111
121,CT41158,Washington,M,College,1074703.09,66446.0,136.0,0,Corporate Auto,SUV,639.464548
122,AO87348,Washington,M,College,205062.35,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
123,DE55857,Washington,F,Bachelor,246544.49,64997.0,63.0,1,Personal Auto,Four-Door Car,383.442328
124,LF66923,Nevada,F,High School or Below,534312.13,64460.0,66.0,0,Corporate Auto,Two-Door Car,316.8
125,CN24514,Arizona,F,College,811982.91,46618.0,67.0,0,Personal Auto,Four-Door Car,99.085943
126,UW32074,Oregon,F,College,460526.52,0.0,64.0,0,Corporate Auto,Four-Door Car,307.2
127,HP36979,California,M,College,640878.56,49988.0,84.0,5,Personal Auto,Two-Door Car,566.935022
128,PP40919,California,F,College,237653.35,0.0,91.0,5,Personal Auto,Two-Door Car,436.8
129,RO73268,California,M,Bachelor,321107.0,16269.0,86.0,0,Corporate Auto,Two-Door Car,412.8
130,HO61691,Arizona,F,Bachelor,509452.23,72006.0,64.0,0,Personal Auto,Four-Door Car,307.2
131,BS13062,Arizona,F,High School or Below,2575527.82,0.0,81.0,2,Personal Auto,Four-Door Car,388.8
132,FO35655,Oregon,M,Bachelor,867222.97,0.0,245.0,0,Corporate Auto,Luxury,2345.413441
133,HR10526,California,M,Master,804473.07,44320.0,67.0,0,Personal Auto,Four-Door Car,321.6
134,IA63417,Arizona,F,High School or Below,400151.91,19782.0,108.0,0,Personal Auto,Two-Door Car,773.470977
135,BH35016,Nevada,F,Bachelor,1670611.7,63933.0,70.0,0,Personal Auto,Two-Door Car,424.883448
136,PK52952,Arizona,M,Doctor,854441.11,28224.0,109.0,0,Personal Auto,SUV,523.2
137,OD76309,Washington,F,College,780531.29,21073.0,106.0,1,Personal Auto,SUV,508.8
138,IL28481,Oregon,M,Bachelor,611275.69,63243.0,77.0,0,Personal Auto,Four-Door Car,364.240307
139,GY55092,Nevada,M,High School or Below,477294.38,20993.0,133.0,0,Personal Auto,SUV,638.4
140,UF33451,Oregon,F,Bachelor,1097909.56,94827.0,135.0,0,Personal Auto,SUV,354.729129
141,CF15558,California,F,Master,500426.38,39161.0,63.0,1,Personal Auto,Two-Door Car,283.995953
142,JM62924,Washington,M,Bachelor,1322304.38,37534.0,84.0,2,Personal Auto,Four-Door Car,403.2
143,EM66435,Oregon,F,Bachelor,262331.54,80210.0,65.0,0,Corporate Auto,Four-Door Car,20.543176
144,QX45933,California,M,Bachelor,1784019.56,0.0,62.0,0,Personal Auto,Four-Door Car,385.115437
145,JI71369,California,F,College,510611.18,30110.0,64.0,0,Personal Auto,Four-Door Car,140.165035
146,JU93290,Arizona,F,College,1793060.45,21708.0,68.0,0,Personal Auto,Four-Door Car,326.4
147,GU66096,Arizona,M,High School or Below,545734.26,94731.0,67.0,0,Personal Auto,Four-Door Car,321.6
148,UC33108,California,M,Bachelor,656364.41,32375.0,83.0,0,Personal Auto,Four-Door Car,398.4
149,LW93867,Oregon,M,College,481252.52,16531.0,63.0,0,Corporate Auto,Four-Door Car,102.879769
150,OU78470,Arizona,F,Master,2932804.19,32006.0,94.0,0,Corporate Auto,Four-Door Car,56.868289
151,XW90265,Arizona,F,Bachelor,577352.07,81676.0,72.0,0,Personal Auto,Two-Door Car,463.158502
152,HS67749,California,M,College,684711.89,71038.0,86.0,0,Corporate Auto,Four-Door Car,205.444066
153,VZ51506,Arizona,F,High School or Below,359531.29,0.0,103.0,0,Corporate Auto,Luxury,741.6
154,UI64281,Nevada,F,Master,2285561.21,20832.0,65.0,0,Personal Auto,Two-Door Car,56.371967
155,AE98193,Washington,M,High School or Below,785941.46,0.0,113.0,0,Personal Auto,SUV,813.6
156,AZ74055,Oregon,M,High School or Below,411557.74,52405.0,103.0,0,Personal Auto,Four-Door Car,494.4
157,XS76911,Arizona,F,High School or Below,502963.88,0.0,133.0,0,Personal Auto,Luxury,795.864079
158,AY40674,Washington,F,Bachelor,482141.85,26583.0,1005.0,4,Personal Auto,SUV,614.4
159,NA12740,Oregon,M,Master,500431.05,25486.0,65.0,0,Special Auto,Two-Door Car,72.438681
160,UA84837,Arizona,M,College,863005.39,24065.0,111.0,0,Corporate Auto,Four-Door Car,532.8
161,DJ51510,Arizona,F,High School or Below,932208.51,70435.0,116.0,0,Personal Auto,Four-Door Car,67.881546
162,VM58985,California,M,College,1672756.06,0.0,76.0,2,Personal Auto,Two-Door Car,402.636829
163,OH60605,Oregon,F,High School or Below,365253.24,39679.0,92.0,0,Personal Auto,Two-Door Car,641.388616
164,UO98052,Nevada,M,College,615860.12,0.0,89.0,0,Personal Auto,Four-Door Car,342.481173
165,NC53424,California,M,Bachelor,437608.4,0.0,69.0,4,Personal Auto,Two-Door Car,331.2
166,LQ13873,Nevada,M,High School or Below,556945.62,53565.0,71.0,1,Personal Auto,Four-Door Car,340.8
167,LA97014,Washington,M,Bachelor,257651.3,37574.0,66.0,1,Personal Auto,Two-Door Car,412.101933
168,NB79936,Washington,M,Bachelor,834698.32,48259.0,108.0,0,Personal Auto,Two-Door Car,73.700573
169,NT89061,Arizona,F,High School or Below,632392.39,78532.0,78.0,0,Personal Auto,Four-Door Car,374.4
170,AF10970,Arizona,F,Bachelor,597314.34,96163.0,73.0,0,Corporate Auto,Four-Door Car,350.4
171,ZG48513,California,M,Bachelor,470667.7,0.0,72.0,0,Personal Auto,Four-Door Car,345.6
172,JQ59145,California,M,High School or Below,809341.03,0.0,114.0,1,Personal Auto,Luxury,722.024742
173,FE84989,Washington,M,College,503574.46,72672.0,63.0,0,Personal Auto,Four-Door Car,259.361117
174,JT52858,Oregon,F,Bachelor,902786.72,99002.0,112.0,1,Personal Auto,Four-Door Car,537.6
175,MC62068,California,M,High School or Below,728888.48,79494.0,91.0,0,Personal Auto,Four-Door Car,396.295614
176,EU27538,Oregon,M,Master,1804247.94,35704.0,225.0,0,Personal Auto,Luxury,358.281562
177,RH42306,Arizona,F,Bachelor,499206.3,0.0,71.0,0,Corporate Auto,Four-Door Car,653.388564
178,US23612,Oregon,F,High School or Below,910226.78,26049.0,118.0,0,Personal Auto,Two-Door Car,121.032372
179,WV76014,Arizona,M,Doctor,254040.77,70125.0,64.0,0,Special Auto,Four-Door Car,92.813396
180,RK96223,California,M,College,1294189.19,52369.0,110.0,1,Personal Auto,SUV,528.0
181,MF82000,Washington,F,Bachelor,236534.86,0.0,66.0,2,Special Auto,Four-Door Car,159.636956
182,FM46980,Arizona,M,College,572076.51,41770.0,72.0,0,Personal Auto,Four-Door Car,476.156957
183,SY56792,Oregon,M,High School or Below,703553.41,0.0,101.0,0,Corporate Auto,Four-Door Car,727.2
184,RF61565,California,M,College,263697.77,31911.0,67.0,0,Personal Auto,Four-Door Car,321.6
185,IM94808,Nevada,M,Bachelor,539583.2,70051.0,68.0,0,Corporate Auto,Four-Door Car,42.078345
186,VI14730,Oregon,M,High School or Below,838263.01,19683.0,117.0,1,Personal Auto,Luxury,561.6
187,YR34119,Washington,F,College,3116174.52,30916.0,112.0,0,Personal Auto,SUV,200.11606
188,RR77985,Oregon,F,Bachelor,288774.23,0.0,80.0,0,Personal Auto,Four-Door Car,676.944023
189,QD28391,Washington,M,College,742584.53,84302.0,62.0,0,Personal Auto,Four-Door Car,76.609295
190,WV17090,California,M,Bachelor,2558572.78,0.0,116.0,0,Corporate Auto,SUV,830.623064
191,TM23514,Oregon,M,College,1027260.82,60145.0,132.0,0,Personal Auto,SUV,580.473259
192,MQ68407,Oregon,F,Bachelor,437636.36,63774.0,111.0,0,Personal Auto,Four-Door Car,60.036683
193,GJ59592,California,F,Bachelor,531889.66,25134.0,67.0,0,Corporate Auto,Four-Door Car,321.6
194,FY56083,Oregon,M,Bachelor,471976.22,37057.0,61.0,1,Personal Auto,Four-Door Car,47.53101
195,UA94723,Oregon,F,High School or Below,442803.16,58577.0,110.0,0,Personal Auto,SUV,303.872752
196,FW91032,California,M,High School or Below,587917.61,85857.0,73.0,0,Corporate Auto,Four-Door Car,100.620067
197,DE34457,Oregon,F,Doctor,941690.85,70602.0,116.0,0,Personal Auto,SUV,481.339891
198,HD32044,Oregon,F,Master,828815.56,33816.0,106.0,2,Corporate Auto,Four-Door Car,508.8
199,HH30454,Oregon,M,Bachelor,3265483.83,0.0,153.0,0,Personal Auto,SUV,1101.6
200,AH84063,Oregon,F,College,471945.01,89642.0,121.0,4,Corporate Auto,SUV,86.320022
201,QA17596,California,F,Bachelor,390347.48,60068.0,98.0,0,Personal Auto,Two-Door Car,470.4
202,XI41052,California,F,Bachelor,545725.97,50044.0,139.0,0,Personal Auto,SUV,667.2
203,DI30528,California,F,Master,272535.64,36650.0,69.0,1,Personal Auto,Four-Door Car,56.60333
204,SC66359,Arizona,F,College,443397.37,50653.0,110.0,0,Corporate Auto,SUV,262.865172
205,EN61670,Arizona,F,Doctor,533246.27,68931.0,66.0,0,Personal Auto,Four-Door Car,309.577946
206,DQ10761,Oregon,M,Bachelor,231509.5,0.0,73.0,1,Corporate Auto,Four-Door Car,350.4
207,BQ51587,California,F,College,541195.37,0.0,73.0,0,Personal Auto,Four-Door Car,365.364581
208,JE21522,California,M,Bachelor,958733.23,39266.0,80.0,0,Personal Auto,Four-Door Car,384.0
209,WS47147,California,M,College,2210350.72,0.0,102.0,0,Personal Auto,SUV,489.6
210,ZA64638,Nevada,F,High School or Below,976494.53,0.0,98.0,1,Personal Auto,Four-Door Car,705.6
211,EW38459,Nevada,F,Bachelor,256715.15,40864.0,65.0,0,Corporate Auto,Four-Door Car,9.51528
212,QW87316,Oregon,F,College,265062.28,39035.0,68.0,0,Personal Auto,Four-Door Car,244.564334
213,IC43478,California,M,Bachelor,1126436.33,34923.0,98.0,0,Personal Auto,Two-Door Car,639.105556
214,TE34064,California,M,High School or Below,216852.35,0.0,63.0,0,Personal Auto,Four-Door Car,453.6
215,WU60905,California,F,High School or Below,861066.75,0.0,111.0,0,Corporate Auto,SUV,532.8
216,YM18992,California,F,College,283464.62,24506.0,71.0,0,Personal Auto,Two-Door Car,511.2
217,PD55753,Oregon,M,High School or Below,893013.97,0.0,82.0,0,Personal Auto,Four-Door Car,554.522969
218,KU56006,Arizona,F,College,553638.7,52220.0,70.0,1,Personal Auto,Four-Door Car,336.0
219,MJ69973,Arizona,M,High School or Below,284085.43,0.0,74.0,0,Personal Auto,Two-Door Car,402.449823
220,TW43626,California,M,College,808288.1,53554.0,67.0,0,Personal Auto,Four-Door Car,327.020539
221,XX84133,California,M,Bachelor,525473.43,34476.0,67.0,1,Corporate Auto,Four-Door Car,5.3953
222,ZW84453,Arizona,F,Bachelor,511623.76,0.0,70.0,0,Personal Auto,Four-Door Car,131.401291
223,HO29524,California,M,College,303464.7,68205.0,76.0,0,Personal Auto,Two-Door Car,99.382943
224,VE89726,California,F,High School or Below,802489.99,0.0,119.0,1,Personal Auto,SUV,856.8
225,GE87503,California,M,High School or Below,1821114.32,53690.0,154.0,0,Personal Auto,SUV,739.2
226,PX90263,Oregon,M,High School or Below,512156.33,0.0,72.0,0,Personal Auto,Four-Door Car,518.4
227,NI17718,California,F,High School or Below,215017.86,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
228,FY32213,California,F,High School or Below,559538.99,74454.0,71.0,0,Personal Auto,Four-Door Car,340.8
229,RZ13254,Nevada,F,Bachelor,756282.4,0.0,73.0,0,Personal Auto,Four-Door Car,350.4
230,GN45013,Oregon,M,High School or Below,538585.32,29664.0,71.0,0,Personal Auto,Four-Door Car,340.8
231,NM39588,Washington,F,Doctor,267805.83,72450.0,66.0,0,Corporate Auto,Four-Door Car,84.218363
232,KU84464,Nevada,F,Bachelor,942256.79,47272.0,79.0,3,Personal Auto,Four-Door Car,64.546877
233,YH43527,Oregon,F,College,360586.03,21585.0,92.0,0,Corporate Auto,Four-Door Car,441.6
234,RO30676,California,F,College,776259.06,23827.0,106.0,2,Personal Auto,Four-Door Car,37.910623
235,QL59704,Arizona,F,College,2344490.05,69906.0,74.0,2,Corporate Auto,Four-Door Car,202.860399
236,QH19450,California,F,High School or Below,255817.82,0.0,72.0,0,Corporate Auto,Four-Door Car,345.6
237,SA54664,Washington,M,Master,265438.1,73196.0,66.0,1,Personal Auto,Four-Door Car,85.809817
238,CI38330,Washington,M,Bachelor,254978.61,72217.0,6464.0,0,Personal Auto,Four-Door Car,91.146661
239,WB38524,California,M,High School or Below,296959.33,46131.0,74.0,0,Personal Auto,Two-Door Car,355.2
240,CE56187,Oregon,F,Master,436312.46,54514.0,109.0,3,Personal Auto,SUV,286.234931
241,JL19416,California,F,High School or Below,588430.86,0.0,161.0,0,Personal Auto,SUV,1159.2
242,JZ61422,Nevada,F,College,527219.16,96668.0,66.0,0,Personal Auto,Four-Door Car,316.8
243,LA13377,California,M,Doctor,550989.57,78879.0,69.0,1,Personal Auto,Four-Door Car,466.570791
244,NC99948,Nevada,M,College,1631368.35,0.0,69.0,0,Personal Auto,Four-Door Car,331.2
245,QD34785,Arizona,F,Bachelor,567805.02,0.0,76.0,0,Personal Auto,Four-Door Car,364.8
246,RO26085,California,F,Bachelor,1210120.88,0.0,112.0,0,Personal Auto,Luxury,1252.406235
247,ES57969,Oregon,M,Bachelor,245357.08,29735.0,69.0,0,Personal Auto,Four-Door Car,331.2
248,JK55587,California,M,High School or Below,507566.27,23082.0,65.0,0,Special Auto,Four-Door Car,312.0
249,RN97635,Arizona,M,Bachelor,321497.94,53984.0,80.0,0,Corporate Auto,Four-Door Car,421.484456
250,BI76326,California,F,College,1227534.31,52135.0,156.0,0,Personal Auto,SUV,430.505942
251,JA34909,California,F,College,272221.07,17576.0,71.0,0,Corporate Auto,Four-Door Car,398.502948
252,OJ90342,Oregon,F,Bachelor,245744.09,29486.0,62.0,0,Personal Auto,Four-Door Car,7.646763
253,CM88932,Oregon,F,Master,355484.53,58557.0,88.0,0,Corporate Auto,Four-Door Car,55.510526
254,JJ97525,California,M,Bachelor,492954.97,25632.0,63.0,0,Personal Auto,Two-Door Car,351.270869
255,XV21647,California,F,High School or Below,803645.03,0.0,112.0,0,Personal Auto,Luxury,806.4
256,MC83487,Arizona,M,Bachelor,427691.53,18768.0,68.0,3,Corporate Auto,Four-Door Car,647.454583
257,BL90769,California,F,Bachelor,3347334.95,33190.0,106.0,0,Personal Auto,SUV,508.8
258,CR57148,Oregon,F,Master,596058.14,47945.0,74.0,0,Personal Auto,Two-Door Car,128.43823
259,CP85232,Arizona,M,College,4479546.94,58778.0,126.0,0,Special Auto,SUV,302.033971
260,YL74732,California,F,High School or Below,383211.81,15192.0,100.0,0,Personal Auto,SUV,480.0
261,FG16766,California,F,Bachelor,683793.26,51859.0,171.0,0,Personal Auto,SUV,1003.160633
262,NV55438,Nevada,F,High School or Below,528526.82,23422.0,72.0,0,Personal Auto,Two-Door Car,518.4
263,RM10880,California,F,College,309651.12,21604.0,79.0,0,Corporate Auto,Four-Door Car,379.2
264,GL56175,Arizona,M,College,358971.07,79298.0,90.0,0,Personal Auto,Four-Door Car,244.362072
